,userID,firstAccuracyArray,lastAccuracyArray,timesAttemptedArray,firstReactionTimeArray,lastReactionTimeArray,firstRatioArray,lastRatioArray,playTimeArray,totalPlayTimeByStudent,averageFirstAccuracyByStudent,averageLastAccuracyByStudent,averageAttempsPerLevelByStudent,totalAttemptsByStudent,total_aliensSaved,total_playTime
0,student_1,"[ 95.   95.   90.   85.   90.    nan   nan   nan  90.   83.3  73.3   nan
  55.   75.   80.   80.   90.   72.5  80.   50.   37.5  27.5]","[ 95.   95.   95.   80.   70.    nan   nan   nan  76.6  73.3  63.3   nan
  75.   70.   75.   95.   90.   82.5  95.   45.   75.   15. ]","[  1.   1.   3.   2.   2.  nan  nan  nan   4.   2.   2.  nan   3.   2.   3.
   3.   1.   2.   4.   3.   3.   2.]","[  4230.   2666.   4326.   3667.   4970.     nan     nan     nan   2680.
   3593.   3846.     nan  12427.   2779.   3162.   2509.   2856.   3507.
   2534.   2847.  35756.  42693.]","[  4230.   2666.  11529.   3867.  19041.     nan     nan     nan   6661.
   3320.  23008.     nan   3424.   7391.   1997.   2347.   2856.   2709.
   2379.   6127.   3735.  53736.]","[ 2.25   1.399  1.6    1.85   1.899    nan    nan    nan  1.733  2.     1.766
    nan  2.6    1.675  1.75   1.95   1.75   1.5    1.75   1.3    2.924  1.1  ]","[ 2.25   1.399  2.     1.85   1.3      nan    nan    nan  1.7    2.33   1.6
    nan  1.925  1.774  1.35   1.6    1.75   1.675  1.6    1.3    2.49
  0.825]","[  492.   768.   380.   999.   502.   517.   252.   700.   214.   223.
   670.  1814.  7531.   601.  2146.   744.    nan   966.   477.  1638.
   959.]",22593.0,74.95,75.8722222222,2.38888888889,43.0,2627.0,7531.0
1,student_2,"[   nan    nan  100.    80.    95.    70.    65.    50.    43.3   33.3
   80.     nan   30.    92.5   85.    95.    95.    95.    85.    85.
   32.5   37.5]","[  nan   nan  75.   65.   45.   55.   70.   80.   96.6  83.3  40.    nan
  87.5  92.5  95.   70.   95.   95.   95.   85.   82.5  60. ]","[ nan  nan   2.   2.   3.   3.   2.   2.   3.   2.   2.  nan   3.   1.   3.
   3.   1.   2.   2.   1.   2.   2.]","[    nan     nan   5919.   6091.   4760.   3692.  11957.  21862.  21779.
  18916.   6964.     nan  19911.   4444.   3863.   3429.   4324.   4434.
   5666.   5235.  46401.  14648.]","[    nan     nan  17428.  13561.  21561.   2817.   6441.   5695.   4745.
   6285.  21809.     nan   6222.   4444.   2841.   3737.   4324.   4692.
   3635.   5235.   8129.   7785.]","[   nan    nan  1.6    1.5    1.6    1.6    1.199  0.85   1.199  1.5    1.866
    nan  3.725  1.399  1.75   1.35   1.925  1.649  1.199  1.6    1.5    1.575]","[   nan    nan  1.149  1.35   3.649  8.55   2.2    1.7    2.133  2.     2.933
    nan  1.675  1.399  1.55   1.449  1.925  1.449  1.75   1.6    1.449
  2.674]","[  114.   473.  2088.   880.   781.  1169.   195.   861.   276.   231.
   409.  1629.  9106.    nan  3287.  2088.    nan   964.   719.  1548.
   500.]",27318.0,71.0052631579,77.2315789474,2.15789473684,41.0,2390.0,9106.0
2,student_3,"[ 80.   75.   85.   70.   50.   85.   95.   80.   50.   70.   53.3  86.6
  45.   67.5  75.   65.   57.4  60.   70.   40.   62.5  60. ]","[ 80.   75.   95.   90.   50.   85.   95.   80.   73.3  70.   86.6  80.
  85.   67.5  85.   85.   77.5  75.   55.   55.   75.   67.5]","[ 1.  1.  2.  2.  1.  1.  1.  1.  3.  3.  2.  2.  5.  1.  2.  2.  2.  4.
  3.  2.  2.  2.]","[ 5869.  3446.  3618.  3642.  2698.  3464.  3207.  3076.  3954.  3680.
  2931.  3288.  2310.  4229.  1791.  2603.  1853.  2155.  2292.  3890.
  2430.  7480.]","[ 5869.  3446.  3458.  3684.  2698.  3464.  3207.  3076.  2948.  3527.
  3072.  2746.  3098.  4229.  2072.  1966.  2202.  2636.  2300.  3725.
  3502.  7386.]","[ 1.75   1.6    1.55   1.5    1.149  1.75   1.5    1.449  1.6    1.933  1.7
  1.933  1.199  1.625  1.25   1.5    1.199  1.25   1.5    1.5    1.399
  1.199]","[ 1.75   1.6    1.5    1.55   1.149  1.75   1.5    1.449  1.766  1.866
  1.866  1.933  1.74   1.625  1.399  1.3    1.575  1.475  1.3    1.149
  1.575  1.199]","[  242.   437.   285.   771.   341.   847.   110.   301.   481.   439.
   300.   565.  5119.   465.  1017.  1272.    nan   428.   845.   812.
   280.]",15357.0,67.3772727273,76.7,2.04545454545,45.0,2633.0,5119.0
3,student_4,"[ 100.    90.   100.   100.    90.   100.    95.    95.    90.     nan
   96.6   96.6   92.5   85.    95.   100.    82.5   82.5   90.    45.
   67.5   55. ]","[   0.   100.    85.   100.   100.   100.    95.    95.    90.     nan
   96.6   96.6   95.    97.5  100.   100.    85.    92.5  100.    60.    75.
   60. ]","[  3.   2.   2.   1.   2.   1.   1.   1.   1.  nan   1.   1.   2.   3.   3.
   2.   2.   2.   3.   3.   2.   2.]","[ 4044.  4043.  3411.  3829.  2805.  4915.  4598.  3168.  3822.    nan
  6039.  3593.  2568.  5016.  2839.  4567.  3327.  4876.  3206.  6286.
  3127.  6031.]","[ 4057.  7961.  6401.  3829.  4050.  4915.  4598.  3168.  3822.    nan
  6039.  3593.  5730.  4782.  2960.  2653.  4377.  3176.  3921.  6518.
  5442.  9465.]","[ 2.5    1.899  1.5    1.7    1.5    2.     1.85   1.35   2.5      nan
  2.66   1.833  1.55   1.625  1.7    1.7    2.1    1.524  1.649  1.25
  1.425  1.375]","[ 1.649  1.75   2.25   1.7    1.8    2.     1.85   1.35   2.5      nan
  2.66   1.833  1.475  1.649  1.6    1.75   2.325  1.625  1.8    1.85
  1.825  1.3  ]","[  664.   359.   448.   787.   272.   669.   439.  1364.   364.   215.
   368.   694.  6643.   523.  1506.  1121.    nan  1700.   626.   795.
   372.]",19929.0,88.0095238095,86.819047619,1.90476190476,40.0,3412.0,6643.0
4,student_5,"[ 95.   85.   75.   90.   80.   80.   75.   90.   73.3  56.6  70.    nan
  45.    nan   0.    nan   nan  17.5   nan   nan   5.   25. ]","[  95.    85.    95.    55.    70.    55.    35.    65.   100.    53.3
   70.     nan   35.     nan    0.     nan    nan   62.5    nan    nan
    5.    25. ]","[  1.   1.   3.   3.   4.   2.   2.   2.   2.   2.   1.  nan   2.  nan   1.
  nan  nan   3.  nan  nan   1.   1.]","[  4825.   3687.   3503.   2854.   2460.   3562.   2949.   3020.   3001.
   2797.   7388.     nan  18099.     nan  50433.     nan     nan  40939.
     nan     nan  65220.  61931.]","[  4825.   3687.   3308.  18591.   2537.  23305.   1840.   1531.   2421.
   4056.   7388.     nan  22610.     nan  50433.     nan     nan   1491.
     nan     nan  65220.  61931.]","[ 1.8    2.2    1.8    1.8    1.5    1.5    1.5    1.7    2.233  7.866
  4.533    nan  5.349    nan  0.55     nan    nan  0.45     nan    nan
  0.625  0.9  ]","[ 1.8    2.2    2.35   3.899  2.549  6.599  9.449  9.75   1.833  1.833
  4.533    nan  5.49     nan  0.55     nan    nan  1.225    nan    nan
  0.625  0.9  ]","[  2.77000000e+02   9.93000000e+02   1.19200000e+03   1.01000000e+03
   5.10000000e+02   1.18100000e+03              nan   2.00000000e+00
              nan   7.93000000e+02              nan   5.58000000e+02
   6.51600000e+03   5.85000000e+02   2.47400000e+03   1.63000000e+03
              nan   4.74000000e+02   6.89000000e+02   6.64000000e+02
              nan]",19548.0,60.15,56.6125,1.9375,31.0,1218.0,6516.0
5,student_6,"[  95.   100.   100.   100.    95.   100.    95.   100.   100.   100.   100.
   90.   100.    97.5   95.    95.    92.5   87.5   95.    95.    95.
   82.5]","[ 100.   100.   100.   100.   100.   100.   100.   100.   100.   100.
   96.6  100.    95.   100.   100.    90.    92.5   97.5  100.    90.    90.
   82.5]","[ 2.  2.  3.  3.  3.  2.  2.  2.  5.  3.  5.  4.  3.  2.  4.  3.  2.  2.
  8.  3.  4.  1.]","[ 3260.  3077.  3113.  3402.  1678.  2301.  2431.  3435.  2700.  3142.
  4046.  3814.  4106.  2977.  2910.  2247.  2708.  4343.  2592.  4371.
  4111.  9699.]","[ 3387.  2725.  3081.  3038.  3418.  2672.  2146.  2608.  2815.  2892.
  2653.  2671.  2324.  4282.  1874.  2735.  3467.  3302.  3541.  5210.
  4379.  9699.]","[ 1.5    1.95   1.649  1.899  1.449  1.85   1.6    2.49   2.33   1.966  1.7
  1.733  1.725  2.     1.7    1.199  1.899  1.675  1.7    1.649  1.875
  1.625]","[ 1.75   1.6    1.6    1.7    1.95   1.6    1.35   1.8    1.933  2.66
  1.933  1.866  1.5    1.7    1.5    1.649  1.825  1.925  1.95   1.8    1.875
  1.625]","[  487.   667.  1184.  1414.   889.   849.   352.   658.   425.   274.
  1354.   781.  9334.   734.  3115.  1460.    nan   985.   797.  1569.
   674.]",28002.0,95.9090909091,97.0045454545,3.09090909091,68.0,5829.0,9334.0
6,student_7,"[ 95.   95.   95.   90.   95.   85.   85.   95.   93.3  96.6  96.6  96.6
  95.   77.5  80.   90.   87.5  85.   85.   95.   87.5  47.5]","[  95.    95.   100.   100.    95.    90.   100.    90.    96.6  100.
   96.6   90.    87.5   77.5   95.    90.    87.5   95.    85.    95.
   77.5   57.4]","[ 1.  1.  3.  3.  2.  2.  2.  2.  3.  3.  3.  3.  3.  1.  3.  3.  1.  2.
  1.  1.  3.  2.]","[ 2151.  2352.  2598.  2801.  1726.  2118.  3293.  1794.  2279.  2913.
  2256.  2761.  2228.  2502.  2187.  2894.  1992.  2505.  2224.  3654.
  3001.  7649.]","[ 2151.  2352.  1980.  2369.  1358.  1889.  2062.  2155.  1931.  2046.
  1877.  2465.  2547.  2502.  1619.  2042.  1992.  2163.  2224.  3654.
  2261.  5210.]","[ 1.899  2.149  2.149  2.2    2.49   2.1    1.8    1.35   2.266  2.1    1.966
  2.366  2.     1.75   2.149  2.     1.774  1.75   1.5    1.7    1.95   1.75 ]","[ 1.899  2.149  1.649  1.75   1.899  1.95   1.649  1.85   2.133  1.833
  1.866  1.866  2.274  1.75   1.6    1.449  1.774  1.725  1.5    1.7    1.774
  1.399]","[  252.   647.   561.   775.   500.   542.   114.   451.   170.   248.
   105.   388.  4753.   461.  1695.   937.    nan   597.   462.   409.
   192.]",14259.0,88.55,90.7090909091,2.18181818182,48.0,3164.0,4753.0
7,student_8,"[ 100.    90.    90.    70.   100.    80.   100.   100.    96.6    3.3
  100.   100.    95.    95.    95.    95.     nan   87.5   95.   100.
   87.5   47.5]","[  85.    90.   100.    85.   100.   100.   100.   100.   100.    93.3
  100.   100.    95.    95.    95.    95.     nan  100.    95.   100.
   87.5   65. ]","[  2.   1.   3.   3.   3.   3.   2.   2.   3.   3.   1.   1.   3.   1.   2.
   2.  nan   2.   1.   1.   3.   2.]","[  3609.   3739.   4566.   4853.   2898.   2900.   3685.   2772.   2853.
  63866.   2356.   3839.   3334.   4196.   3062.   2708.     nan   3421.
   2738.   2822.   5706.  11450.]","[ 7293.  3739.  4384.  4431.  4111.  4386.  4320.  3290.  2817.  3906.
  2356.  3839.  4053.  4196.  3705.  4349.    nan  2557.  2738.  2822.
  4169.  5195.]","[ 2.     2.49   1.7    2.49   1.85   1.85   1.5    1.55   1.966  0.1    1.733
  2.     1.524  1.85   2.399  2.149    nan  1.899  1.95   1.449  2.1    1.35 ]","[ 4.99   2.49   1.85   3.5    3.5    1.8    1.8    1.6    1.966  2.33
  1.733  2.     2.399  1.85   1.649  2.       nan  1.95   1.95   1.449
  1.625  2.24 ]","[  236.   643.  1043.  1106.   172.   534.   175.   338.    30.   261.
   101.   716.  5355.   454.  2567.   603.    nan   596.   203.   587.
   345.]",16065.0,87.019047619,94.3238095238,2.09523809524,44.0,2947.0,5355.0
8,student_9,"[  95.    90.    95.   100.    95.   100.    90.   100.    96.6   96.6
   96.6   73.3   82.5   95.   100.   100.   100.    90.   100.    85.
   87.5   60. ]","[ 100.    95.   100.   100.   100.   100.   100.   100.   100.    96.6
  100.   100.   100.    95.   100.    95.    95.    95.   100.    85.    85.
   70. ]","[ 2.  2.  3.  3.  3.  3.  3.  3.  3.  3.  3.  3.  4.  2.  3.  3.  2.  2.
  2.  1.  2.  2.]","[ 3286.  3024.  3407.  3770.  3528.  3241.  5781.  3893.  4399.  3857.
  5098.  6209.  3915.  3292.  2380.  2185.  2817.  4084.  2709.  4568.
  4732.  5904.]","[ 3457.  2919.  2978.  3445.  2116.  1928.  2543.  2606.  2831.  3386.
  2753.  3868.  2867.  3159.  1857.  2609.  3005.  2875.  2271.  4568.
  4335.  7858.]","[ 1.55   2.     1.449  1.899  1.95   1.5    1.649  1.5    2.66   1.899
  1.833  2.133  3.149  1.725  1.899  1.5    1.774  1.575  2.     1.55   1.6
  1.575]","[ 2.2    2.25   1.75   1.8    2.     1.55   1.7    1.85   1.966  1.833  2.
  2.133  1.975  2.24   1.55   2.1    1.925  1.7    2.     1.55   1.7    1.6  ]","[  496.   673.  1266.   957.   688.   795.   286.   760.   375.   351.
   421.   707.  7775.   724.  2381.  1538.    nan  1115.   693.   971.
   353.]",23325.0,92.1863636364,95.9818181818,2.59090909091,57.0,3801.0,7775.0
9,student_10,"[  90.    85.   100.    90.    80.     nan    nan    nan   86.6   86.6
   86.6   90.    95.     nan    nan    nan    nan    nan    nan    nan
    nan    nan]","[  90.    85.   100.    90.    80.     nan    nan    nan   90.    86.6
   96.6   96.6   80.     nan    nan    nan    nan    nan    nan    nan
    nan    nan]","[  1.   1.   3.   3.   1.  nan  nan  nan   2.   1.   3.   2.   2.  nan  nan
  nan  nan  nan  nan  nan  nan  nan]","[ 5790.  5857.  3988.  3410.  3512.    nan    nan    nan  3349.  3831.
  3901.  4713.  3240.    nan    nan    nan    nan    nan    nan    nan
    nan    nan]","[ 5790.  5857.  5043.  4768.  3512.    nan    nan    nan  3464.  3831.
  2746.  3417.  3956.    nan    nan    nan    nan    nan    nan    nan
    nan    nan]","[ 0.95   1.199  1.8    1.6    1.35     nan    nan    nan  2.33   1.866
  2.66   1.899  1.725    nan    nan    nan    nan    nan    nan    nan
    nan    nan]","[ 0.95   1.199  1.8    1.8    1.35     nan    nan    nan  1.966  1.866
  1.833  2.33   1.6      nan    nan    nan    nan    nan    nan    nan
    nan    nan]","[  232.   710.   151.   567.   652.   452.    nan    nan    nan    nan
    nan   184.  2948.   447.  1221.  1096.    nan    nan    nan    nan
   184.]",8844.0,88.98,89.48,1.9,19.0,1507.0,2948.0
